Bare_Soil,Kaolin,Montmor,River_sand,Veg1,Veg2
0.245746,0.436689,0.561638,0.390148,0.327847,0.050665
0.257401,0.456789,0.594536,0.40349,0.347258,0.0499
0.253484,0.448322,0.580955,0.403091,0.344469,0.045823
0.253798,0.437975,0.569839,0.398746,0.341488,0.04069
0.263592,0.448011,0.583446,0.412267,0.350569,0.040887
0.266424,0.445664,0.572292,0.406229,0.351212,0.040355
0.26378,0.439708,0.566274,0.40454,0.349265,0.039894
0.266017,0.442062,0.570544,0.404394,0.353729,0.040197
0.255508,0.429953,0.558103,0.390833,0.341711,0.039153
0.241077,0.39498,0.539147,0.370115,0.318269,0.036845
0.26149,0.444364,0.58982,0.400838,0.347943,0.05588
0.245255,0.421043,0.574429,0.377547,0.325562,0.053643
0.250378,0.423954,0.579462,0.38535,0.331858,0.055816
0.262211,0.435822,0.596404,0.399565,0.341245,0.056388
0.26688,0.437279,0.601502,0.408778,0.342435,0.052784
0.272773,0.439926,0.600385,0.414611,0.339821,0.051477
0.272375,0.433107,0.588106,0.40903,0.330168,0.050064
0.271787,0.430285,0.58894,0.408635,0.325055,0.050472
0.268845,0.425873,0.585567,0.406936,0.316971,0.050867
0.256728,0.413631,0.571144,0.397394,0.301609,0.049762
0.26537,0.424912,0.589277,0.404382,0.30556,0.053988
0.268808,0.42487,0.591926,0.408944,0.30624,0.055998
0.264249,0.421739,0.585458,0.40765,0.298018,0.056226
0.2648,0.416017,0.585616,0.40335,0.2957,0.057708
0.266884,0.418045,0.582806,0.408018,0.295199,0.059021
0.270648,0.421128,0.585766,0.412462,0.296211,0.058819
0.269598,0.41867,0.579984,0.411932,0.2941,0.059428
0.269583,0.416132,0.580221,0.410538,0.293196,0.061029
0.269081,0.414993,0.57506,0.409038,0.292667,0.061406
0.271216,0.413818,0.573433,0.407972,0.293228,0.062573
0.269159,0.41149,0.567331,0.40746,0.291349,0.063403
0.270095,0.410648,0.56613,0.408302,0.292483,0.064861
0.272882,0.413164,0.568648,0.411178,0.296254,0.066812
0.269986,0.407885,0.560801,0.406408,0.294906,0.066941
0.270962,0.40947,0.56113,0.409078,0.296141,0.068841
0.274476,0.408909,0.565239,0.412917,0.299794,0.069871
0.271511,0.403692,0.560958,0.41011,0.300337,0.070335
0.272484,0.398347,0.557487,0.408264,0.300111,0.071052
0.273074,0.392057,0.55356,0.408716,0.301207,0.071765
0.271725,0.382046,0.548863,0.407848,0.304882,0.072937
0.269735,0.369575,0.541444,0.405447,0.304425,0.0726
0.266127,0.358883,0.530604,0.399191,0.302643,0.073358
0.266284,0.361277,0.53192,0.403664,0.308419,0.074384
0.264498,0.360287,0.531321,0.399641,0.309243,0.075199
0.261243,0.357718,0.526393,0.39608,0.3082,0.075113
0.259005,0.358967,0.522204,0.395664,0.308152,0.075507
0.256012,0.355796,0.515627,0.389944,0.309161,0.075751
0.253034,0.35054,0.502852,0.384444,0.312494,0.075482
0.245765,0.342393,0.483642,0.378151,0.308077,0.075042
0.245322,0.332564,0.468853,0.37538,0.30986,0.075784
0.247188,0.322088,0.451214,0.376989,0.316888,0.07762
0.247506,0.316879,0.434422,0.378174,0.318859,0.07709
0.244925,0.342615,0.427694,0.376077,0.313107,0.076622
0.246812,0.366048,0.431777,0.379891,0.313324,0.075856
0.250422,0.381814,0.447695,0.386737,0.315818,0.07693
0.248262,0.385854,0.463136,0.384638,0.312811,0.075815
0.24758,0.38879,0.479862,0.386459,0.308919,0.076963
0.245213,0.388238,0.489351,0.383183,0.30232,0.074671
0.244989,0.388629,0.503886,0.384377,0.296672,0.07421
0.242486,0.383708,0.506256,0.378916,0.289473,0.072376
0.24499,0.383009,0.515745,0.380261,0.284664,0.072022
0.245039,0.382373,0.51919,0.380793,0.281312,0.071015
0.246368,0.38303,0.523009,0.382229,0.277116,0.070124
0.243473,0.379767,0.523216,0.380703,0.273222,0.068184
0.243005,0.375137,0.520779,0.3776,0.270713,0.066677
0.241907,0.37377,0.522546,0.3794,0.270064,0.066221
0.240071,0.372425,0.519463,0.373867,0.267674,0.065273
0.236683,0.365166,0.512667,0.366959,0.263812,0.063903
0.237239,0.363047,0.511601,0.366682,0.264261,0.063218
0.235753,0.357978,0.503597,0.363007,0.259941,0.062386
0.236606,0.359718,0.501943,0.364252,0.259703,0.062253
0.235605,0.355436,0.491428,0.359873,0.255617,0.060369
0.226275,0.34213,0.472223,0.347356,0.246656,0.056688
0.227877,0.350896,0.477603,0.35127,0.255083,0.058732
0.230038,0.353483,0.475943,0.355843,0.257418,0.058259
0.226254,0.346755,0.465212,0.349798,0.252597,0.056102
0.220742,0.344222,0.453292,0.341819,0.24867,0.053638
0.219333,0.342045,0.447355,0.341157,0.248751,0.052938
0.218208,0.339787,0.445131,0.341663,0.247275,0.0529
0.216733,0.336818,0.442062,0.340076,0.245428,0.052009
0.218511,0.338363,0.445796,0.344033,0.248503,0.052293
0.220134,0.342805,0.45028,0.351325,0.254805,0.051406
0.221842,0.343511,0.458702,0.353622,0.253679,0.049874
0.217397,0.335401,0.455492,0.346834,0.250639,0.049418
0.215432,0.336381,0.459637,0.349281,0.253672,0.049498
